gisco_id,name,registered,turnout,invalid,blank,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvos socialdemokratų partija,Partija Tvarka ir teisingumas,Darbo partija,Lietuvos lenkų rinkimų akcija,Lietuvos Respublikos liberalų sąjūdis,Liberalų ir centro sąjunga,Lietuvos centro partija,Krikščionių konservatorių socialinė sąjunga,"""FRONTO"" PARTIJA",Lietuvos valstiečių liaudininkų sąjunga,Pilietinės demokratijos partija,Žemaičių partija,Tautos prisikėlimo partija,Tautinė partija LIETUVOS KELIAS
LT_3260,Naujosios Akmenės miesto seniūnija,8404,1949,72,0,247,585,433,236,7,59,50,69,41,49,8,16,43,24,10
LT_3204,Akmenės,11306,2344,62,0,356,612,493,371,2,47,40,65,59,59,55,20,68,29,6
LT_4760,Joniškio seniūnija,24971,5271,155,0,852,1478,938,652,9,231,91,151,124,171,203,79,57,66,14
LT_0252,Kauno,596,128,5,0,17,30,25,17,1,0,5,5,3,7,6,2,3,1,1
LT_1100,Alytaus miesto savivaldybė,81716,13315,394,0,3771,3119,1563,1320,29,828,410,543,390,337,162,167,58,180,44
LT_0934,Alnykščių,27173,6505,195,0,1881,1534,685,717,16,251,139,200,313,201,178,74,33,70,18
LT_1299,Birštono,4335,1062,35,0,249,335,133,53,1,69,41,37,50,20,3,14,5,11,6
LT_0536,Biržų,26861,6350,209,0,1451,1582,789,629,11,222,92,208,254,151,550,71,40,77,14
LT_1599,Druskininkai,19868,4036,118,0,1271,910,495,343,56,199,105,139,130,119,19,59,19,39,15
LT_4215,Elektrėnų seniūnija,22442,3646,121,0,823,735,426,436,107,147,195,171,133,154,54,47,23,57,17
LT_4525,Ignalinos seniūnija,17608,5152,131,0,764,1019,761,511,74,213,88,97,183,138,1019,44,24,74,12
LT_4699,Jonavos,39887,5974,139,0,1335,1267,747,896,46,311,219,210,158,114,320,67,50,76,19
LT_9499,Jurbarkas,27250,5454,172,0,1410,1342,684,515,4,253,255,183,251,116,63,55,63,75,13
LT_0794,Jurbarko,901,225,3,0,57,50,32,38,0,3,4,7,12,3,4,1,3,8,0
LT_4917,Kaišiadorių miesto seniūnija,13497,2508,55,0,690,786,168,166,11,202,57,84,80,90,21,36,15,42,5
LT_4921,Kaišiadorių apylinkės seniūnija,14860,3347,91,0,682,972,295,390,23,270,44,123,147,104,59,37,25,81,4
LT_4909,Žąslių seniūnija,817,172,5,0,47,44,18,27,0,4,2,3,9,5,5,1,1,1,0
LT_4834,Kalvarijos seniūnija,10376,2098,75,0,439,475,315,345,3,134,18,57,98,40,35,16,13,28,7
LT_0253,Kėdainių,369146,74605,1890,0,27950,9979,6094,8434,297,8506,2118,2408,1973,1842,512,1123,495,776,208
LT_1900,Kauno,29664,5571,132,0,1834,996,511,433,23,580,174,215,179,141,93,120,49,74,17
LT_5832,Kazlų Rūdos seniūnija,11437,2161,67,0,529,466,301,234,3,104,87,71,68,64,57,52,15,34,9
LT_5401,Kelmės,30274,5884,142,0,1144,1462,981,656,5,184,382,165,232,154,101,50,148,65,13
LT_2100,Klaipėdos miesto savivaldybė,184672,32460,1032,0,7905,3961,4944,2006,2242,5251,611,992,762,795,245,393,986,257,78
LT_5651,Kretingos seniūnija,37895,7122,218,0,1833,1242,1103,720,9,514,124,223,326,208,60,82,377,70,13
LT_5719,Kupiškio seniūnija,18860,3954,106,0,1063,810,420,513,6,119,77,145,164,90,325,44,29,41,2
LT_5940,Lazdijų seniūnija,18592,4191,139,0,1285,1088,312,386,6,117,96,121,205,103,183,33,29,79,9
LT_0159,Lazdijų,2091,435,18,0,123,155,23,25,2,16,2,16,17,13,15,4,3,1,2
LT_1847,Marijampolės,54738,8689,208,0,2558,2064,1221,847,11,492,166,256,271,193,64,119,25,123,71
LT_6111,Mažeikių seniūnija,51308,8915,245,0,1576,1857,1755,900,25,535,97,321,257,337,181,160,544,81,44
LT_6299,Molėtai,19256,3967,99,0,1138,810,373,520,28,120,116,131,254,88,133,39,25,84,9
LT_2399,Neringa,3213,738,20,0,177,130,91,63,2,113,40,31,16,10,9,4,19,12,1
LT_6360,Pagėgių seniūnija,9129,2040,75,0,213,478,798,167,2,54,19,15,39,49,60,10,24,33,4
LT_6546,Pakruojo seniūnija,21651,5219,143,0,741,2217,641,661,9,126,31,99,139,137,95,53,37,78,12
LT_2500,Palangos miesto savivaldybė,14398,3252,101,0,907,503,381,176,9,469,139,163,91,115,25,45,98,20,10
LT_2700,Panevėžio miesto savivaldybė,125842,25400,657,0,8241,4897,2837,2102,63,2251,560,910,881,712,326,469,148,287,59
LT_6749,Pasvalio apylinkių seniūnija,26240,6386,172,0,1713,1899,571,698,10,199,90,256,304,138,131,67,41,84,13
LT_0868,Plungės,33702,6320,144,0,1671,1278,1214,405,5,246,155,184,267,159,81,77,356,63,15
LT_6901,Prienų seniūnija,26695,5484,184,0,1283,1275,1196,353,24,266,144,168,228,139,55,58,34,70,7
LT_7135,Radviliškio seniūnija,38026,7786,198,0,1544,1882,1006,1111,23,338,99,247,260,238,552,87,80,97,24
LT_1300,Vilniaus,504231,120693,2308,0,34218,12411,10412,4973,28875,9487,7400,2860,1666,2205,725,1546,640,611,356
LT_7284,Raseinių seniūnija,33449,8486,228,0,1368,2403,2192,865,6,362,93,191,241,149,112,42,145,75,14
LT_7475,Rietavo seniūnija,8000,1927,42,0,421,446,305,267,3,66,58,55,76,30,31,11,95,17,4
LT_0573,Rokiškio,32289,7809,230,0,1801,2048,1043,918,21,181,172,188,333,247,378,94,26,107,22
LT_7579,Skuodo seniūnija,19515,3840,143,0,975,651,779,346,9,197,26,82,169,96,41,30,253,39,4
LT_8483,Šakių seniūnija,29519,6810,176,0,1968,1598,714,492,8,229,130,177,288,156,673,67,28,99,7
LT_8575,Šalčininkų seniūnija,34546,13185,482,0,290,383,655,594,9962,97,227,74,66,75,60,68,33,81,38
LT_2900,Šiaulių miesto savivaldybė,136525,24288,786,0,5930,5158,3695,2338,105,1459,667,1112,600,783,503,453,305,311,83
LT_0787,Šilalės,23636,5221,142,0,1003,2186,612,210,9,121,124,96,164,73,42,280,110,43,6
LT_8801,Šilutės,42345,7626,257,0,1609,2729,871,459,12,512,187,220,219,140,138,56,136,70,11
LT_8982,Širvintų seniūnija,15937,3505,100,0,538,696,336,776,263,138,178,70,106,68,121,29,27,49,10
LT_8682,Švenčionių seniūnija,25333,6317,161,0,725,827,861,1148,1380,118,221,100,203,152,229,53,35,86,18
LT_7794,Tauragės,40853,7262,237,0,1873,1975,844,518,10,343,360,208,268,157,148,56,154,103,8
LT_7810,Telšių miesto seniūnija,42031,8795,222,0,1354,1485,2478,826,5,258,129,247,740,248,110,117,501,63,12
